Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C205, C207, C210, C307, C308, C401, C402, C501, C503",0402,13,100nF,
"C206, C502",0402,2,1uF,
"C208, C209",0402,2,4.7uF,
"C301, C306",0402,2,10nF,
"C302, C304",0402,2,0.1uF,
"C303, C305",0402,2,2.2uF,
"C403, C404, C405",0603,3,2.2uF,
"C406, C407, C408",0603,3,470pF,
"C409, C410, C411",0603,3,100nF,
"D402, D403",D_SOD-123,2,B140HW-7,
D501,SOT-666,1,USBLC6-2P6,
J301,PinHeader_1x06_P2.54mm_Vertical,1,VTX&UART1,
J501,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USBC,
J505,PinHeader_1x04_P2.54mm_Vertical,1,UART2,
J506,PinHeader_1x04_P2.54mm_Vertical,1,USART3,
J508,PinHeader_1x04_P2.54mm_Vertical,1,UART4,
J509,PinHeader_1x04_P2.54mm_Vertical,1,USART6,
J510,PinHeader_1x04_P2.54mm_Vertical,1,UART7,
J511,PinHeader_1x04_P2.54mm_Vertical,1,UART8,
J512,PinHeader_1x06_P2.54mm_Vertical,1,SPI3,
J513,PinHeader_1x04_P2.54mm_Vertical,1,I2C2,
J514,PinHeader_1x04_P2.54mm_Vertical,1,CAN,
J515,PinHeader_1x06_P2.54mm_Vertical,1,EXT SENS,
"LED201, LED202",0402,2,LED_0402,
Q501,SOT-23,1,SS8050,
"R201, R202, R203, R204",0402,4,4.7k,
"R205, R301, R302, R503, R504, R505, R506, R507, R508",0402,9,10k,
"R206, R207",0402,2,100,
"R401, R402, R403, R404",0402,4,1k,
"R501, R502",0402,2,5.1k,
R509,0402,1,120,
SW201,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,SKRPABE010,C115360
U201,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
"U301, U302",LGA-14_L3.0-W2.5-P0.50-TL,2,ICM-42688-P,C1850418
U303,LGA-8_DPS310XTSA1,1,DPS310XTSA1,C130156
"U401, U402, U403",SOT-23-5,3,MIC5219-3.3YM5,
U501,TF-SMD_TF-123-ARP9H15,1,TF-123-ARP9H17,C2982548
U502,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1051TK-3,
U503,HDR-TH_39P-P2.54-V-M-R3-C13-S2.54,1,KH-2.54PH180-3X13P-L11.5,C20610260
Y201,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,8mhz,
